全唐詩分卷目錄

巴斯光年 整理


卷209  賈邕 劉舟 長孫鑄 房白 元晟 劉太沖 姚發 鄭愕 殷少野 鄔載
卷210  皇甫曾
卷211-214  高適
卷215  李峴 李棲筠 徐浩 薛令之 鄒紹先 李穆 馮著 王迥 李曄 敬括
卷216-234  杜甫
卷235  賈至
卷236-239  錢起
卷240-241  元結
卷242  張繼
卷243-245  韓翃
卷246-247  獨孤及
卷248  郎士元
卷249-250  皇甫冉
卷251  劉方平
卷252  劉太真 袁傪 崔何 王緯 郭澹 高傪 李岑 蘇寓 袁邕 李紓 于邵
卷253  王之渙 閻防 薛據 姚系 令狐峘 滕珦
卷254  常袞 褚朝陽
卷255  蘇源明 鄭虔 畢耀 韋濟 田澄 沈東美 蘇渙
卷256  劉眘虛
卷257  息夫牧 宋華 鄒象先 韋建 殷寅 柳中庸
卷258  崔惠童 崔敏童 苗晉卿 賈耽 趙居貞 蕭華 李岑 元友讓 蔣冽 蔣渙 段懷然 張偁 陳孫 李峰
卷259  沈千運 王季友 于逖 張彪 趙徵明 元季川
卷260  秦系
卷261  任華 魏萬 崔宗之 崔成甫 嚴武 韋迢 郭受
卷262  韓滉 竇蒙 張濯 王綽 鄭錫 古之奇 李陽冰
卷263  嚴維
卷264-267  顧況
卷268-269  耿湋
卷270  戎昱
卷271  竇叔向 竇常 竇牟 竇群 竇庠 竇鞏
卷272  韋元甫 王鋌 潘炎 張叔良 呂牧 韋夏卿 綦毋誠 姚倫 于結 鄭孺華 張叔卿 房孺復 楊郇伯 陳潤 杜誦 鄭丹 鄭昈 朱長文
卷273-274  戴叔倫
卷275  張建封 于良史 崔膺 馮宿 陸長源 張眾甫 王武陵 朱宿
卷276-280  盧綸
卷281   崔琮 李竦 張惟儉 章八元 張莒 史延 韓濬 鄭轅 王濯 獨孤綬 仲子陵 張佐 丁澤 閻濟美 張少博 周徹 高拯 王表 獨孤授 王儲 周渭
卷282-283  李益
卷284-286  李端
卷287  暢當 暢諸
卷288  陸贄 張濛 常沂 周存 黎逢 張昔 丁位 元友直 楊系 崔績 張季略 裴達 裴逵 沈回
卷289  楊憑
卷290  楊凝
卷291  楊淩
卷292293  司空曙
卷294  崔峒
卷295  苗發 吉中孚 夏侯審 王烈 衛象 崔季卿 何兆 奚賈
卷296  張南史
卷297-302  王建
卷303-304  劉商
卷305  陳翊 劉復 冷朝陽 于尹躬 柳郴 李子卿
卷306  朱灣
卷307  丘丹 賈弇 沈仲昌 謝良輔 鮑防 杜奕 鄭概 陳元初 呂渭 范燈 樊珣 劉蕃
卷308  張志和 張松齡 陸羽
卷309  郭鄖 韋同則 李夷簡 李約
卷310  于鵠
卷311  劉長川 鄭常 陳存 王觀 崔瓘 鄭審 朱彬 李彥遠 范元凱
卷312  劉迥 李幼卿 李深 羊滔 薛戎 謝勮
卷213  崔元翰 獨孤良器 高崇文 羅珦 皇甫澈 張登 韋執中 邵真 何頻瑜 駱浚 羅讓
卷314  陳京 韋渠牟 竇參 盧羣 韋皋 李願 王智興 袁高 崔子向 張署 歸登
卷315  朱放
卷316-317  武元衡
卷318  李吉甫 鄭絪 鄭餘慶 趙宗儒 柳公綽 張正一 徐放 崔備 蕭祜 王良士 獨孤實 盧士政 于敖 皇甫鏞
卷319  顏粲 徐敞 張聿 麴信陵 張正元 王履貞 彭伉 林藻 李觀 李絳 崔樞 陸復禮 李正辭 張嗣初 許康佐 許堯佐 李君房 杜羔 車𥾝
卷320-329  權德輿
卷330  張薦 崔邠 楊於陵 許孟容 馮伉 潘孟陽 武少儀
卷331  段文昌 姚向 溫會 李敬伯 姚康
卷332  羊士諤
卷333  楊巨源
卷334  令狐楚
卷335  裴度
卷336-345  韓愈
卷346  王涯
卷347  賈稜 劉遵古 李正封 崔立之 郭遵 韋紓 樊陽源 許稷 范傳正 豆盧榮 邵偃 柳道倫 陳九流 夏方慶
卷348  陳羽
卷349  歐陽詹
卷350-353  柳宗元
卷354-365  劉禹錫
卷366  張弘靖 韓察 崔恭 陸瀍 胡証 張賈 張文規
卷367  張仲素
卷368  庾承宣 鄭澣 張彙 陳通方 李應 陳師穆 李季何 李程 高弁 席夔 李行敏 陳諷 崔護
卷369  李翱 皇甫湜 樊宗師 盧儲 皇甫松 馬異
卷370-371  呂溫
卷372 -381  孟郊
卷382-386  張籍
卷387-389  盧仝
卷390-394  李賀
卷395  劉叉
卷396-423  元稹
卷424-462  白居易
卷463  胡杲 吉皎 劉真 鄭據 盧真 張渾 韋式 張彤 周元範 繁知一 嚴休復 盧拱 李諒 劉猛 萬彤雲 盧貞
卷464  王起 王損之 王炎 封孟紳 邵楚萇 鄭俞 吳丹 王鑒 陳昌言 杜元穎 胡直鈞 俞簡 楊嗣復
卷465  楊衡
卷466  牛僧孺 葉季良 湛賁 薛存誠 裴次元 李宣遠 李君何 周弘亮 陳翥 曹著 王公亮 張仲方 崔玄亮 徐牧 王播 獨孤良弼 沈傳師 白行簡 裴澄 羅立言 張燦
卷467  牟融
卷468  劉言史
卷469  長孫佐輔 張碧 張瀛
卷470  盧殷 獨孤申叔 嚴公弼 嚴公貺 莊南傑 李溟 賀蘭朋吉 王魯復 徐希仁
卷471  雍裕之
卷472  段弘古 何元上 宋濟 符載 張儼 先汪 李赤 薛𦀒 孫叔向 劉皂 楊厚 裴交泰 李祕 殷堯恭 林傑 鄭立之 蘇郁 浩虛舟 蔡京 張頂
卷473  李逢吉 于頔 盧景亮 李渤 孟簡 王仲舒 孫革 汪萬於 何儒亮 李宗閔 韋表微
卷474  徐凝
卷475  李德裕
卷476  熊孺登
卷477  李涉
卷478  陸暢
卷479  柳公權 吳武陵 韋處厚 楊敬之 李虞仲 張又新 封敖 馬植 李廓
卷480-483  李紳
卷484  崔公信 楊虞卿 楊汝士 陳至 趙蕃
卷485-487  鮑溶
卷488  盧鈞 范傳質 賈謩 陳彥博 唐扶 陶雍 郭周藩 侯冽 王質 高銖
卷489  舒元輿
卷490  盧宗回 周匡物 廖有方 皇甫曙 潘存實 陳去疾
卷491  張蕭遠 李播 王季則 紀元皋 吳晃 鄭還古 獨孤鉉 王初 劉軻 朱晝 滕邁 滕倪
卷492  殷堯藩
卷493  沈亞之
卷494  施肩吾
卷495  費冠卿 蕭建 劉虛白 張復 張勝之
卷496-502姚合 
卷503  周賀
卷504  鄭巢
卷505  呂羣 崔涯 郭良驥 王睿 焦郁 崔郊 劉魯風 柳泌 何希堯 朱沖和 張光朝 梁鉉
卷506  章孝標
卷507  蔣防 李虞 裴潾 劉三復 韋瓘 崔郾
卷508  孔溫業 趙存約 竇洵直 陳標 袁不約 李餘 白敏中 李敬方 李回 常楚老 李甘 平曾 景審
卷509  顧非熊
卷510-511  張祜
卷512  楊洵美 長孫翱 盧求 歐陽袞
卷513  裴夷直
卷514-515  朱慶餘
卷516  王彥威 庾敬休 許玫 厲玄 魏扶 楊漢公 何扶 柴夔 房千里 劉郇伯 李章武 蕭仿 柳棠 鍾輅
卷517  楊發 楊收 楊乘 尹璞
卷518  雍陶
卷519  李遠
卷520-527  杜牧
卷528-538  許渾
卷539-541  李商隱
卷542  紀唐夫 裴思謙 李衢 李損之 李景 張元宗 李肱 鄭史 許瀍 牛叢 陳上美 楊鴻 趙璜 潘咸 薛瑩 崔元略 馮涯
卷543  喻鳧
卷544-545  劉得仁
卷546  權審 刑群 曹汾 嚴惲 殷潛之 祝元膺 彭蟾 王樞 張希復 錢可復 張鷺 劉莊物
卷547  朱景玄 薛宜僚 郭圓 崔鉉 元晦 路貫 鄭薰
卷548  薛逢
卷549-550  趙嘏
卷551  盧肇
卷552  丁棱 高退之 孟球 劉耕 裴翻 樊驤 崔軒 蒯希逸 林滋 李宣古 黃頗 張道符 丘上卿 石貫 李潛 孟守 唐思言 戈牢 金厚載 王甚夷
卷553  姚鵠
卷554  項斯
卷555-556  馬戴
卷557  易重 孟遲 王鐸 鄭畋 譚銖 盧嗣立 朱可名 張良器
卷558-561  薛能
卷562  劉威 李玖 潘唐
卷563  斐休 令狐綯 夏侯孜 魏謩 周墀 李景讓 鄭顥 劉綺莊 張固 劉皋 李質 南卓 李訥 崔元範 楊知至 李明遠 蕭縝 盧順之 李善夷 盧溵 趙牧 裴諴
卷564  于興宗 李朋 楊牢 李續 李汶儒 田章 薛蒙 李鄴 于瓌 王嚴 劉睽 李渥 劉潞 盧栯 李體仁
卷565 韓琮 
卷566  王傳 盧鄴 陸肱 崔澹 莫宣卿 封彥卿 李節 韋蟾 盧渥 郭夔 柳珪
卷567  鄭嵎 崔櫓
卷568-570  李羣玉
卷571-574  賈島
卷575-583  溫庭筠
卷584  段成式
卷585  劉駕
卷586  劉滄
卷587-589  李頻
卷590  李郢
卷591  崔玨
卷592-593  曹鄴
卷594  儲嗣宗
卷595  于武陵
卷596  司馬扎
卷597  徐商 高璩 高湘 崔安潛 裴鉶 劉損 鄭愚 霍總 陳琡 裴虔餘 李嶸 袁郊 張叢 馮袞 鄭綮 溫庭皓
卷598  高駢
卷599  于濆
卷600  牛徵 伊璠 蕭遘 韋承貽 鄭洪業 孫緯 歐陽玭 張演 裴澈 翁綬 潘緯 武瓘 袁皓 公乘億 王秀文 盧駢 王鐐 李拯 顧封人 司馬都  
卷601   李昌符
卷602  汪遵
卷603-604  許棠
卷605  邵謁
卷606  林寬
卷607  劉鄴 李騭 孫蜀 歐陽澥 陳黯 張孜 鄭仁表 趙鴻 童翰卿
卷608-616  皮日休
卷617-630  陸龜蒙
卷631  張賁 崔潞 李縠 崔璞 魏朴 羊昭業 顏萱 鄭璧
卷632司-634  司空圖
卷635  周繇
卷636  聶夷中
卷637  顧雲
卷638-639  張喬
卷640-641  曹唐
卷642  來鵠
卷643  李山甫
卷644-646  李咸用
卷647  胡曾
卷648-653  方干
卷654  羅鄴
卷655-665  羅隱
卷666  羅虬
卷667  鄭損 張禕 盧攜 李廷璧 許三畏 盧嗣業 牛嶠 鄭合 李摶 李克恭 程賀 盧尚卿 顧在鎔 翁洮 李嶼 鄭啟 韓儀 溫憲 姚巖傑
卷668  高蟾
卷669  章碣
卷670  秦韜玉
卷671-672  唐彥謙
卷673  周朴
卷674-677  鄭谷
卷678  許彬
卷679  崔塗
卷680-683  韓偓
卷684-687  吳融
卷688  孫偓 陸扆 薛昭緯 陸翱 狄歸昌 裴廷裕 李沇 裴贄 盧汝弼
卷689  陸希聲 李昭象
卷690  王駕 王渙 戴司顏 吳仁璧 汪極 張曙 林嵩
卷691-693  杜荀鶴
卷694  張道古 唐廩 王轂 孫郃 褚載 鄭准 陳乘
卷695-700  韋莊
卷701  王貞白
卷702  張蠙
卷703  翁承贊
卷704-706  黃滔
卷707  殷文圭
卷708-711  徐夤
卷712  錢珝
卷713  喻坦之
卷714  崔道融
卷715  盧延讓 裴皞 王希羽 柯崇 劉象 沈顏 楊凝式 李琪 劉崇龜 劉崇魯 孫定 許晝 薛准 裴諧
卷716-717  曹松
卷718  蘇拯
卷719  路德延 李旭 崔庸 胡駢 周祚 盧頻 劉畋
卷720  裴說
卷721-723  李洞
卷724  唐求
卷725  于鄴
卷726  陸貞洞 劉谷 王祝 王滌 韋冰 李昌鄴 王碩 李縞 張綺 高衢 賈馳 趙光遠 鄭良士 蕭項
卷727  胡令能 嚴郾 蔣肱 張迥 張友正 伍唐珪 孫棨 顏蕘 張為 馬冉 周鏞 劉贊 任翻 荊浩 張直 陳光
卷728-729  周曇
卷730  李九齡
卷731  胡宿 杜常 滕白 王喦
卷732  高力士 王越賓 王良會 驃信 趙叔達 楊奇鯤 布燮 朝衡 長屋 王巨臣 李贊華 成輔端 張隱 朱元 陳璠 捧劍僕
卷733  李密 孔德紹 鄭頲 劉斌 劉闢 黃巢
卷734  羅紹威 （以下五代） 羅袞 王鎔 鄧洵美 李京 許鼎 王易簡 朱褒 黃損 張袞 趙光逢
卷735  和凝
卷736  王仁裕
卷737  馮道 盧文紀 崔居儉 李濤 盧士衡 熊皦 熊皎 趙延壽 高輦 韓昭裔 張仁溥 李瀚 楊昭儉 劉坦 韋遵
卷738  宋齊丘 馮延巳 韓熙載 李徵古 潘佑 李昉 馬致恭 張義方
卷739  李建勳
卷740  孟賓于 廖匡圖 廖凝 韋鼎 左偃
卷741  陳貺 劉洞 江為 高越
卷742  張泌
卷743  孫魴 沈彬
卷744  伍喬
卷745-746  陳陶
卷747-750  李中
卷751-756  徐鉉
卷757  徐鍇 包穎 鍾謨 查文徽 馬彧 韓定辭 何昌齡 李羽 梁藻 陳沆 李詢 韓垂 朱存 陳彥 許堅 王感化 李家明 湯悅 蕭彧 孫峴 謝仲宣 鍾蒨 喬舜 王沂 陳元裕
卷758  孟貫
卷759  成彥雄
卷760  周庠 張格 王鍇 牛希濟 馮涓 李浩弼 楊玢 韓昭 楊鼎夫 蔣貽恭 李珣 顧夐 張令問
卷761  徐光溥 歐陽炯 劉義度 劉羲叟 詹敦仁 詹琲 幸夤遜 丁元和 張立
卷762  劉昭禹 李宏皋 何仲舉 徐仲雅 伍彬 楊徽之 王元 廖融 王正己 翁宏 張觀 孫光憲 劉章 路洵美 梁震
卷763  楊夔 杜建徽 沈韜文 王繼勳 劉乙 夏鴻 劉山甫 張昭 顏仁郁 王延彬
卷764  譚用之
卷765  王周
卷766  劉兼
卷767  孫元晏（以下無考）
卷768  嚴識玄 何象 張震 丘光庭 武翊黃 李祜 韓嶼 李茂復 李曜 吳圓 陸弘休 安錡 油蔚 胡玢 盧注 胡幽貞 狄煥 韓溉 金昌緒 曾麻幾
卷769  鄭軌 劉戩 楊齊哲 劉夷道 楊希道 王勣 郭恭 張烜 張修之 梁獻 符子珪 李何 鄭鏦 紇干著 李習 顏舒 朱絳 徐璧 徐安期 裴延 陳述 朱琳 謝陶 何贊 解彥融
卷770  董初 賀朝清 楊衡 唐暄 李韶 韋鵬翼 安鴻漸 李延陵 秦尚運 張仲謀 馮少吉 殷陶 羅炯 韓雄 苗仲方 陳嶰 張起 陳政 李建業 羅維 殷益 李得 王邵 曹脩古 朱子真 嚴郭 張子明 李謹言 吳燭 張保嗣 潘圖 潘佐 李逸 沈麟 安鳳 李倫 盧子發 王夢周 孫咸 李澣 錢戭 韋道遜 王揆 王言史
卷771  宋雍 戴休珽 盧鉟 趙摶 張安石 蔣吉 周濆
卷772  趙起 王瓚 慕容韋 黃文 唐溫如 歐陽賓 何敬 楊彝 裴瑤 鄭玉 麻溫其 韋鎰 謝太虛 周岳秀 馬逢
卷773  蕭意 徐之才 張陵 蔡瓌 唐怡 潘求仁 閻德隱 劉元叔 常理 馮待徵 冷朝光 衛萬 李章 王沈 王偃 李暇 李播 辛弘智
卷774  吉師老 吳商浩 沈祖仙 邵士彥 吳大江 荊叔 蕭靜 元凜 徐振 張侹 方澤 景池 張鴻 姚揆 王訓 張熾 虞羽客 鄭渥
卷775  崔江 李伉 劉望 易思 趙防 劉廓 姚偓 戴衢 李建樞 謝邈 唐備 方棫 范夜 盧羣玉 楊行敏 張懷 趙湘 楊持 李聰 徐介 李士元
卷776  馮道之 徐謙 楊達 楊逵 魏兼恕 賈彥璋 歐陽瑾 李叔卿 熊曜 李賓 唐堯臣 鄭縉 吳英秀 陳凝 伊夢昌 鄭嚴 柳曾 牛殳 衛光一 林璠 顏胄
卷777  邢象玉 張敬徽 徐玄之 郭汭 權徹 豆盧回 張南容 沈徽 林琨 吳象之 鄭德玄 張軫 蔡文恭 賈宗 唐堯客 朱晦 石召 林珝 衛葉
卷778  李季華 王玄 李歸唐 朱光弼 顧甄遠 魏巒 柳明獻 蔡崑 令狐挺 滕潛 夏侯子雲 方愚 潘雍 梁陟 朱延 寇埴 馮渚
卷779  王約 郭求 鄭師貞 石殷士 柴宿 陶拱 劉𤥟 朱華 戴察 孫顧 孫頠 陳璀 裴杞 陳祜 吳祕 張復元 穆寂 王景中 鄧倚 湯洙 殷琮 朱延齡
卷780  鄭蕡 裴元 杜周士 樂伸 徐至 紇干諷 朱休 李沛 成崿 夏侯楚 胡權 郭邕 張欽敬 叔孫玄觀 王季友 南巨川 丁居晦 辛宏 康翊仁 陳中師 管雄甫 鄧陟 呂價 苑䛆 羅泰 崔藩 李勳
卷781  趙鐸 徐元鼎 嚴巨川 呂炅 劉公興 王卓 石倚 葉元良 裴大章 崔宗 鄭馥 吳叔達 孟翱 鄭昉 袁求賢 孟匡明 李子昂
卷782  員南溟 李胄 鄭述誠 宋迪 万俟造 錢眾仲 呂敞 鄭袞 張公乂 張何 濮陽瓘 王若巖 張隨 徐仁嗣 盧征 顧偉 沈鵬 薛少殷 張元正
卷783  辛學士 盧尚書 鄭僕射 鄭中丞 韓常侍 梁補闕 盧尚書 蘇廣文 任生 任生 吳公 曹生 繆氏子 京兆韋氏子
卷784  景龍文館學士 神龍從臣 天寶時人 僖宗韓北省官 洪州將軍 貞元文士 河北士人 元和舉子 懿宗朝舉子 白衫舉子 唐末朝士 西鄙人 太上隱者 黃山隱 婺州山中人 同谷子 崔公佐客 洛中舉子 江陵士子 織錦人 吏部選人 建業卜者 天嶠遊人 驪山遊人 衡州舟子 華山老人 終南山翁 吳越失姓名人
卷785-787  無名氏
卷788  李白（以下聯句） 高霽 韋權輿 杜甫 李之芳 崔彧 顏真卿 劉全白 裴循 張薦 吳筠 強蒙 范縉 王純 魏理 王修甫 顏峴 左輔元 劉茂 顏渾 楊德元 韋介 皎然 崔弘 史仲宣 陸羽 權器 陸士修 裴幼清 柳淡 釋塵外 顏顓 顏須 顏頊 李崿 潘述 楊憑 楊凝 耿湋 喬（失姓） 陸涓 伯成（失姓） 崔萬 袁高 皇甫曾 殷佐明 蔣志 李益
卷789  皇甫曾 清晝 鄭說 崔子向 嚴維 鮑防 謝良輔 杜奕 李清 劉蕃 謝良弼 鄭概 陳元初 樊珣 丘丹 呂渭 范淹 吳筠 沈仲昌 迥（失姓） 成用 張叔政 賈弇 周頌 李益 廣宣 杜羔 韋執中 諸葛覺 賈島 法振 耿湋 王早 辛晃 陸羽 李景儉 呂溫 呂恭 武元衡 崔備 裴度 柳公綽 盧放 盧士玫
卷790  裴度 劉禹錫 崔羣 賈餗 張籍 行式（失姓） 白居易 李紳 李絳 庾承宣 楊嗣復 王起
卷791  韓愈 孟郊 張籍 張徹 李翱 李正封 劉師服 侯喜 軒轅彌明 賈島 高麗使
卷792  張祜 杜牧 趙嘏 段成式 張希復 鄭符 昇上人
卷793  皮日休 陸龜蒙 張賁 嵩起（失姓） 安守範 楊鼎夫 周述 李仁肇
卷794  清晝 潘述 湯衡 裴濟 王遘 齊翔 李縱 崔子向 鄭說 陸士修 李令從 疾（失姓） 澄（失姓） 嚴伯均 巨川（失姓） 從心（失姓） 杭（失姓） 盧藻 盧幼平 陸羽 李恂 鄭述誠 （失姓）惸 崔逵 崔萬 韓章 楊秦卿 仲文（失姓） 顧況 鄭遨 羅隱之
卷795  李日知（以下句） 趙仁獎 郭廷謂 韋青 尉遲匡 何涓 杜偉 申堂構 周愿 第五琦 顏允南 季廣琛 陳蛻 衛准 杜鴻漸 李摯 韋綬 馮戡 韓泰 盧并 繆島雲 劉敬之 李濤 高元裕 韋澳 王龜 李郁 詹雄 任濤 劇燕 王璘 李蔚 王枳 鄭賨 張塋 吳靄 陳詠 蔣密 苻蒙 李景遂 李弘茂 李平 胡元龜 蔣鈞 史虛白 夏寶松 趙慶 潘天錫 朱勰 齊鎬 黃可 高元矩 陳貺 趙休 庸仁傑 邵拙 毛炳 陳德誠 陳甫 徐融 高若拙 皮光業 屠瓌智 元德昭 林無隱 楊義方 王廷珪 歐陽彬 李堯夫 石文德 戴偃 張迥 鍾元章 楊鳧 王俊 薛沆 張顗 張林 盧休 陳嶠 李範 卞震 林楚才 孟不疑 龐季子 郭思 盧載 鄭翱 鄭說 史瑜 賀公 米都知 陳秀才 崔李二生 范氏子 臨川小吏 韓熙載客 段義宗
卷796  無名氏（句）
卷797  武后宮人（以下名嬡） 開元宮人 天寶宮人 德宗宮人 宣宗宮人 僖宗宮人 李舜弦 李玉簫 金真德 寶曆宮人
卷798  花蕊夫人
