序號	Unicode	CJK+Code	Hanzi	缺字	字次	覆蓋率‱	累加覆蓋率%	部首編號	部首	部首外筆畫數
1	0-4E4B		之		19891628	252.20998	2.5221	0104	丿	2
2	0-4E0D		不		9733996	123.41931	3.75629	0101	一	3
3	0-4EE5		以		9480560	120.20594	4.95835	0203	人	2
4	0-4E5F		也		7881524	99.93144	5.95767	0105	乙	2
5	0-800C		而		7697614	97.59961	6.93366	0609	而	0
6	0-5176		其		6896797	87.44589	7.80812	0206	八	6
7	0-4EBA		人		6750929	85.5964	8.66409	0203	人	0
8	0-70BA		為		6615021	83.87319	9.50282	0426	火	5
9	0-6709		有		6209740	78.73455	10.29016	0414	月	2
10	0-8005		者		5587903	70.85015	10.99866	0608	老	4
11	0-4E00		一		5279990	66.94606	11.66813	0101	一	0
12	0-66F0		曰		5235232	66.37857	12.33191	0413	曰	0
13	0-5B50		子		4579575	58.06536	12.91256	0310	子	0
14	0-65BC		於		4305732	54.59325	13.4585	0410	方	4
15	0-5341		十		4185422	53.06781	13.98918	0218	十	0
16	0-5927		大		3590583	45.52573	14.44443	0308	大	0
17	0-6240		所		3516804	44.59027	14.89034	0403	戶	4
18	0-4E8C		二		3437197	43.58092	15.32614	0201	二	1
19	0-4E09		三		3338241	42.32623	15.74941	0101	一	2
20	0-4E2D		中		3184692	40.37935	16.1532	0102	丨	3
21	0-7121		無		3175745	40.26591	16.55586	0426	火	8
22	0-4E28		丨		3166824	40.1528	16.95739	0102	丨	0
23	0-5E74		年		3163339	40.10862	17.35847	0322	干	5
24	0-5247		則		3053478	38.71567	17.74563	0212	刀	7
25	0-4E0B		下		2960595	37.53798	18.12101	0101	一	2
26	0-5929		天		2919091	37.01175	18.49113	0308	大	1
27	0-4E0A		上		2887089	36.60599	18.85719	0101	一	2
28	0-6B64		此		2834051	35.93351	19.21652	0417	止	2
29	0-738B		王		2754461	34.92437	19.56577	0502	玉	0
30	0-66F8		書		2619030	33.20721	19.89784	0413	曰	6
31	0-662F		是		2602664	32.9997	20.22784	0412	日	5
32	0-516C		公		2576421	32.66696	20.5545	0206	八	2
33	0-4E8B		事		2519440	31.94449	20.87395	0106	亅	7
34	0-81EA		自		2480552	31.45142	21.18846	0615	自	0
35	0-5728		在		2428095	30.78631	21.49633	0303	土	3
36	0-53EF		可		2422115	30.71049	21.80343	0301	口	2
37	0-8A00		言		2368329	30.02852	22.10372	0703	言	0
38	0-81F3		至		2344512	29.72654	22.40098	0616	至	0
39	0-4E94		五		2342263	29.69803	22.69796	0201	二	3
40	0-5982		如		2338972	29.6563	22.99453	0309	女	3
41	0-65E5		日		2325150	29.48105	23.28934	0412	日	0
42	0-5C71		山		2299699	29.15835	23.58092	0317	山	0
43	0-56DB		四		2293069	29.07429	23.87166	0302	囗	2
44	0-6545		故		2268200	28.75897	24.15925	0406	攴	5
45	0-6587		文		2232019	28.30022	24.44225	0407	文	0
46	0-8207		與		2204117	27.94645	24.72172	0617	臼	11
47	0-53C8		又		2194105	27.8195	24.99991	0223	又	0
48	0-5F97		得		2190762	27.77712	25.27769	0331	彳	8
49	0-6642		時		2172369	27.54391	25.55312	0412	日	6
50	0-884C		行		2106107	26.70376	25.82016	0627	行	3
51	0-5DDE		州		2027504	25.70713	26.07723	0318	巛	5
52	0-77E5		知		2018460	25.59246	26.33316	0517	矢	3
53	0-6708		月		1995017	25.29522	26.58611	0414	月	0
54	0-5F8C		後		1966734	24.93662	26.83548	0331	彳	6
55	0-5357		南		1932956	24.50834	27.08056	0218	十	7
56	0-751F		生		1893680	24.01035	27.32066	0506	生	0
57	0-898B		見		1832363	23.2329	27.55299	0701	見	0
58	0-9053		道		1789762	22.69275	27.77992	0716	辵	9
59	0-4EA6		亦		1748031	22.16364	28.00156	0202	亠	4
60	0-8B02		謂		1747969	22.16285	28.22318	0703	言	9
61	0-6771		東		1690479	21.43393	28.43752	0415	木	4
62	0-541B		君		1689333	21.4194	28.65172	0301	口	4
63	0-660E		明		1688211	21.40517	28.86577	0412	日	4
64	0-76F8		相		1684876	21.36288	29.0794	0515	目	4
65	0-7136		然		1674640	21.2331	29.29173	0426	火	8
66	0-6C34		水		1671171	21.18912	29.50362	0425	水	0
67	0-4ECA		今		1668277	21.15242	29.71514	0203	人	2
68	0-7686		皆		1649437	20.91355	29.92428	0512	白	4
69	0-4F5C		作		1635411	20.73571	30.13164	0203	人	5
70	0-570B		國		1631438	20.68533	30.33849	0302	囗	8
71	0-540D		名		1631149	20.68167	30.54531	0301	口	3
72	0-4F7F		使		1606696	20.37162	30.74902	0203	人	6
73	0-81E3		臣		1604215	20.34017	30.95243	0614	臣	0
74	0-51FA		出		1603163	20.32683	31.15569	0211	凵	3
75	0-767E		百		1600496	20.29301	31.35862	0512	白	1
76	0-672A		未		1595486	20.22949	31.56092	0415	木	1
77	0-4E8E		于		1582654	20.06679	31.76159	0201	二	2
78	0-4F55		何		1571852	19.92983	31.96088	0203	人	5
79	0-8A69		詩		1561947	19.80424	32.15893	0703	言	6
80	0-592A		太		1550011	19.6529	32.35546	0308	大	1
81	0-897F		西		1544859	19.58758	32.55133	0629	襾	0
82	0-5B98		官		1544106	19.57803	32.74711	0311	宀	5
83	0-77E3		矣		1540602	19.5336	32.94245	0517	矢	2
84	0-516D		六		1529457	19.3923	33.13637	0206	八	2
85	0-7528		用		1524024	19.32341	33.32961	0507	用	3
86	0-6B63		正		1495257	18.95867	33.51919	0417	止	1
87	0-80FD		能		1486162	18.84335	33.70763	0613	肉	6
88	0-7E23		縣		1455744	18.45767	33.8922	0603	糸	10
89	0-592B		夫		1445475	18.32747	34.07548	0308	大	1
90	0-4E91		云		1406222	17.82977	34.25377	0201	二	2
91	0-6C0F		氏		1385551	17.56768	34.42945	0423	氏	0
92	0-5730		地		1375207	17.43653	34.60382	0303	土	3
93	0-540C		同		1372766	17.40558	34.77787	0301	口	3
94	0-5143		元		1363996	17.29438	34.95082	0204	儿	2
95	0-58EB		士		1358876	17.22946	35.12311	0304	士	0
96	0-6210		成		1343501	17.03452	35.29346	0402	戈	2
97	0-967D		陽		1340765	16.99983	35.46345	0804	阜	9
98	0-975E		非		1335231	16.92966	35.63275	0809	非	0
99	0-65B9		方		1325011	16.80008	35.80075	0410	方	0
100	0-5FC3		心		1319258	16.72714	35.96802	0401	心	0
101	0-5165		入		1302261	16.51163	36.13314	0205	入	0
102	0-9577		長		1296295	16.43599	36.2975	0802	長	0
103	0-53CA		及		1287909	16.32966	36.4608	0223	又	2
104	0-5B89		安		1281204	16.24465	36.62324	0311	宀	3
105	0-50B3		傳		1265496	16.04548	36.7837	0203	人	11
106	0-7576		當		1251855	15.87252	36.94242	0508	田	8
107	0-8AF8		諸		1243065	15.76107	37.10003	0703	言	8
108	0-5148		先		1240383	15.72707	37.2573	0204	儿	4
109	0-5DF2		已		1216035	15.41835	37.41149	0320	己	0
110	0-79AE		禮		1214983	15.40502	37.56554	0519	示	13
111	0-98A8		風		1210352	15.3463	37.719	0907	風	0
112	0-4E5D		九		1206422	15.29647	37.87197	0105	乙	1
113	0-5E1D		帝		1206189	15.29351	38.0249	0321	巾	6
114	0-4E43		乃		1193392	15.13126	38.17621	0104	丿	1
115	0-5C07		將		1187450	15.05592	38.32677	0312	寸	7
116	0-8ECD		軍		1180587	14.9689	38.47646	0713	車	2
117	0-5317		北		1175293	14.90178	38.62548	0215	匕	3
118	0-57CE		城		1165871	14.78231	38.7733	0303	土	6
119	0-82E5		若		1164704	14.76752	38.92098	0623	艸	5
120	0-5E73		平		1159674	14.70374	39.06801	0322	干	2
121	0-5F9E		從		1145094	14.51888	39.2132	0331	彳	8
122	0-672C		本		1139669	14.45009	39.3577	0415	木	1
123	0-91CC		里		1138387	14.43384	39.50204	0720	里	0
124	0-6C11		民		1135443	14.39651	39.64601	0423	氏	1
125	0-4E16		世		1133052	14.3662	39.78967	0101	一	4
126	0-5BB6		家		1127204	14.29205	39.93259	0311	宀	7
127	0-5FA9		復		1125786	14.27407	40.07533	0331	彳	9
128	0-842C		萬		1123490	14.24496	40.21778	0623	艸	9
129	0-4F86		來		1107721	14.04502	40.35823	0203	人	6
130	0-524D		前		1107002	14.0359	40.49859	0212	刀	7
131	0-516B		八		1102116	13.97395	40.63833	0206	八	0
132	0-5206		分		1099606	13.94213	40.77775	0212	刀	2
133	0-4E03		七		1098712	13.93079	40.91706	0101	一	1
134	0-5B57		字		1085191	13.75936	41.05465	0310	子	3
135	0-53F2		史		1082850	13.72967	41.19195	0301	口	2
136	0-5B78		學		1069275	13.55755	41.32752	0310	子	13
137	0-53E4		古		1065829	13.51386	41.46266	0301	口	2
138	0-671D		朝		1060727	13.44917	41.59715	0414	月	8
139	0-9580		門		1057137	13.40365	41.73119	0803	門	0
140	0-5175		兵		1056242	13.39231	41.86511	0206	八	5
141	0-6C5F		江		1041488	13.20524	41.99717	0425	水	3
142	0-591A		多		1036721	13.1448	42.12861	0307	夕	3
143	0-53BB		去		1034837	13.12091	42.25982	0222	厶	3
144	0-4E4E		乎		1033450	13.10332	42.39086	0104	丿	4
145	0-5FC5		必		1027461	13.02739	42.52113	0401	心	1
146	0-5C0F		小		1015034	12.86982	42.64983	0313	小	0
147	0-4EE4		令		1012880	12.84251	42.77825	0203	人	3
148	0-7FA9		義		986989	12.51423	42.9034	0606	羊	7
149	0-7D93		經		985014	12.48919	43.02829	0603	糸	7
150	0-77F3		石		977116	12.38905	43.15218	0518	石	0
151	0-6B66		武		968829	12.28398	43.27502	0417	止	4
152	0-5343		千		967872	12.27185	43.39774	0218	十	1
153	0-6B32		欲		966404	12.25323	43.52027	0416	欠	7
154	0-6625		春		965580	12.24278	43.6427	0412	日	5
155	0-5916		外		964738	12.23211	43.76502	0307	夕	2
156	0-6578		數		963243	12.21315	43.88715	0406	攴	11
157	0-99AC		馬		963209	12.21272	44.00928	1001	馬	0
158	0-767D		白		961276	12.18821	44.13116	0512	白	0
159	0-5E2B		師		956231	12.12425	44.2524	0321	巾	7
160	0-6B78		歸		951653	12.0662	44.37306	0417	止	14
161	0-5B97		宗		950951	12.0573	44.49364	0311	宀	5
162	0-5373		即		949344	12.03692	44.61401	0220	卩	5
163	0-53F8		司		939271	11.90921	44.7331	0301	口	2
164	0-6F22		漢		938598	11.90067	44.85211	0425	水	11
165	0-5468		周		937842	11.89109	44.97102	0301	口	5
166	0-7B49		等		937710	11.88942	45.08991	0601	竹	6
167	0-4E3B		主		926513	11.74745	45.20738	0103	丶	4
168	0-91D1		金		917787	11.63681	45.32375	0801	金	0
169	0-547D		命		915812	11.61177	45.43987	0301	口	5
170	0-5C45		居		909702	11.5343	45.55521	0315	尸	5
171	0-6CB3		河		902515	11.44317	45.66964	0425	水	5
172	0-6216		或		893930	11.33432	45.78299	0402	戈	4
173	0-6211		我		892882	11.32103	45.8962	0402	戈	3
174	0-5FD7		志		892419	11.31516	46.00935	0401	心	3
175	0-5185		内		888295	11.26287	46.12198	0207	冂	2
176	0-6CBB		治		865097	10.96874	46.23167	0425	水	5
177	0-805E		聞		858814	10.88908	46.34056	0611	耳	6
178	0-6CD5		法		856073	10.85432	46.4491	0425	水	5
179	0-91CD		重		851734	10.79931	46.55709	0720	里	2
180	0-5169		兩		844243	10.70433	46.66414	0205	入	7
181	0-901A		通		840822	10.66095	46.77075	0716	辵	7
182	0-7ACB		立		838269	10.62858	46.87703	0523	立	0
183	0-521D		初		828989	10.51092	46.98214	0212	刀	5
184	0-610F		意		825292	10.46404	47.08678	0401	心	9
185	0-9918		餘		824181	10.44996	47.19128	0909	食	7
186	0-6C23		氣		824063	10.44846	47.29577	0424	气	6
187	0-7232		爲		821790	10.41964	47.39996	0427	爪	8
188	0-9EC4		黄		821623	10.41752	47.50414	1201	黃	0
189	0-7269		物		821219	10.4124	47.60826	0433	牛	4
190	0-6A02		樂		820433	10.40244	47.71229	0415	木	11
191	0-9032		進		809353	10.26195	47.81491	0716	辵	8
192	0-795E		神		795113	10.0814	47.91572	0519	示	5
193	0-96F2		雲		794720	10.07642	48.01648	0807	雨	4
194	0-4FAF		侯		790666	10.02501	48.11673	0203	人	7
195	0-5E9C		府		786140	9.96763	48.21641	0324	广	5
196	0-8655		處		786020	9.96611	48.31607	0624	虍	5
197	0-5B9A		定		785655	9.96148	48.41569	0311	宀	5
198	0-5FB3		徳		780766	9.89949	48.51468	0331	彳	11
199	0-9593		間		780004	9.88983	48.61358	0803	門	4
200	0-79CB		秋		779600	9.88471	48.71243	0521	禾	4
201	0-5B88		守		770041	9.76351	48.81006	0311	宀	3
202	0-670D		服		764718	9.69601	48.90702	0414	月	4
203	0-9AD9		髙		763824	9.68468	49.00387	1003	高	0
204	0-56E0		因		759411	9.62873	49.10016	0302	囗	3
205	0-5E38		常		758509	9.61729	49.19633	0321	巾	8
206	0-6E05		清		757806	9.60838	49.29241	0425	水	8
207	0-96D6		雖		751542	9.52895	49.3877	0806	隹	9
208	0-674E		李		749299	9.50051	49.48271	0415	木	3
209	0-548C		和		740494	9.38887	49.5766	0301	口	5
210	0-8056		聖		739603	9.37758	49.67037	0611	耳	7
211	0-5F35		張		738657	9.36558	49.76403	0328	弓	8
212	0-90FD		都		731634	9.27654	49.85679	0717	邑	8
213	0-7109		焉		727841	9.22844	49.94908	0426	火	7
214	0-904E		過		725934	9.20426	50.04112	0716	辵	8
215	0-53D6		取		725257	9.19568	50.13308	0223	又	6
216	0-5BE6		實		725056	9.19313	50.22501	0311	宀	11
217	0-5C1A		尚		723917	9.17869	50.31679	0313	小	5
218	0-6B7B		死		722880	9.16554	50.40845	0418	歹	2
219	0-98DF		食		718850	9.11444	50.49959	0909	食	0
220	0-9673		陳		714653	9.06123	50.59021	0804	阜	8
221	0-6D41		流		712751	9.03711	50.68058	0425	水	7
222	0-7687		皇		711993	9.0275	50.77085	0512	白	4
223	0-59CB		始		703587	8.92092	50.86006	0309	女	5
224	0-61C9		應		699669	8.87124	50.94877	0401	心	13
225	0-5207		切		695962	8.82424	51.03702	0212	刀	2
226	0-6613		易		692679	8.78262	51.12484	0412	日	4
227	0-6D77		海		689532	8.74272	51.21227	0425	水	7
228	0-5C11		少		687816	8.72096	51.29948	0313	小	1
229	0-8072		聲		687393	8.7156	51.38664	0611	耳	11
230	0-9F4A		齊		686595	8.70548	51.47369	1402	齊	0
231	0-543E		吾		681893	8.64586	51.56015	0301	口	4
232	0-5404		各		680615	8.62966	51.64645	0301	口	3
233	0-7406		理		680476	8.62789	51.73272	0502	玉	7
234	0-5584		善		680432	8.62734	51.819	0301	口	9
235	0-60DF		惟		680073	8.62278	51.90523	0401	心	8
236	0-53CD		反		674426	8.55118	51.99074	0223	又	2
237	0-5DE6		左		674369	8.55046	52.07624	0319	工	2
238	0-9042		遂		670223	8.49789	52.16122	0716	辵	9
239	0-5408		合		667530	8.46375	52.24586	0301	口	3
240	0-8DB3		足		665499	8.438	52.33024	0711	足	0
241	0-97F3		音		662176	8.39586	52.4142	0905	音	0
242	0-65E2		既		662020	8.39389	52.49814	0411	无	5
243	0-53F3		右		659790	8.36561	52.58179	0301	口	2
244	0-7BC0		節		652833	8.2774	52.66457	0601	竹	7
245	0-8A18		記		651264	8.25751	52.74714	0703	言	3
246	0-8208		興		645081	8.17911	52.82893	0617	臼	14
247	0-5510		唐		643476	8.15876	52.91052	0301	口	7
248	0-5B8B		宋		642601	8.14767	52.992	0311	宀	4
249	0-529F		功		639125	8.1036	53.07303	0213	力	3
250	0-7236		父		637945	8.08863	53.15392	0428	父	0
251	0-554F		問		635816	8.06164	53.23454	0301	口	3
252	0-90E8		部		631559	8.00766	53.31461	0717	邑	8
253	0-76E1		盡		630825	7.99836	53.3946	0514	皿	9
254	0-5149		光		629700	7.98409	53.47444	0204	儿	4
255	0-7956		祖		626273	7.94064	53.55384	0519	示	5
256	0-8AD6		論		619258	7.8517	53.63236	0703	言	8
257	0-8209		舉		615237	7.80071	53.71037	0617	臼	10
258	0-7AE0		章		613817	7.78271	53.78819	0523	立	6
259	0-89C0		觀		613254	7.77557	53.86595	0701	見	17
260	0-8EAB		身		612886	7.77091	53.94366	0712	身	0
261	0-601D		思		606824	7.69404	54.0206	0401	心	5
262	0-6797		林		604005	7.6583	54.09718	0415	木	4
263	0-958B		開		599880	7.606	54.17324	0803	門	4
264	0-653F		政		598352	7.58663	54.24911	0406	攴	5
265	0-8001		老		598233	7.58512	54.32496	0608	老	0
266	0-9F8D		龍		595920	7.55579	54.40052	1601	龍	0
267	0-96C6		集		595177	7.54637	54.47598	0806	隹	4
268	0-65B0		新		593987	7.53128	54.55129	0409	斤	9
269	0-7A31		稱		593240	7.52181	54.62651	0521	禾	9
270	0-7336		猶		592570	7.51332	54.70165	0434	犬	9
271	0-6CE8		注		592397	7.51112	54.77676	0425	水	5
272	0-82B1		花		588883	7.46657	54.85142	0623	艸	4
273	0-5B6B		孫		588800	7.46551	54.92608	0310	子	7
274	0-5EA6		度		588681	7.46401	55.00072	0324	广	6
275	0-7389		玉		588129	7.45701	55.07529	0502	玉	0
276	0-8D77		起		585304	7.42119	55.1495	0710	走	3
277	0-90E1		郡		584433	7.41014	55.2236	0717	邑	7
278	0-903A		逺		580489	7.36014	55.2972	0716	辵	8
279	0-5236		制		577577	7.32322	55.37043	0212	刀	6
280	0-723E		爾		574064	7.27867	55.44322	0429	爻	13
281	0-4F4D		位		571993	7.25242	55.51575	0203	人	5
282	0-5B9C		宜		569287	7.21811	55.58793	0311	宀	5
283	0-820A		舊		567710	7.19811	55.65991	0617	臼	11
284	0-767C		發		561618	7.12087	55.73112	0511	癶	7
285	0-6649		晉		559928	7.09944	55.80211	0412	日	6
286	0-9996		首		558586	7.08243	55.87293	0910	首	0
287	0-6DF1		深		552163	7.00099	55.94294	0425	水	8
288	0-5EE3		廣		544757	6.90708	56.01202	0324	广	11
289	0-8ACB		請		544701	6.90637	56.08108	0703	言	8
290	0-5EFA		建		543291	6.8885	56.14996	0325	廴	6
291	0-8A9E		語		541940	6.87137	56.21868	0703	言	7
292	0-7530		田		541343	6.8638	56.28732	0508	田	0
293	0-4EFB		任		540137	6.84851	56.3558	0203	人	4
294	0-7570		異		539275	6.83758	56.42418	0508	田	6
295	0-96E3		難		536366	6.80069	56.49218	0806	隹	11
296	0-89AA		親		535525	6.79003	56.56008	0701	見	9
297	0-751A		甚		535346	6.78776	56.62796	0505	甘	8
298	0-6B21		次		534492	6.77693	56.69573	0416	欠	2
299	0-3479		㑹		534185	6.77304	56.76346	0203	人	10
300	0-4E14		且		532854	6.75616	56.83102	0101	一	4
301	0-9152		酒		531577	6.73997	56.89842	0718	酉	3
302	0-6C42		求		526790	6.67928	56.96522	0425	水	2
303	0-594F		奏		525754	6.66614	57.03188	0308	大	6
304	0-8CE2		賢		525420	6.66191	57.0985	0708	貝	8
305	0-8C48		豈		522517	6.6251	57.16475	0705	豆	3
306	0-8846		衆		520383	6.59804	57.23073	0626	血	6
307	0-5FA1		御		519935	6.59236	57.29665	0331	彳	9
308	0-9682		隂		519405	6.58564	57.36251	0804	阜	9
309	0-7D42		終		518338	6.57211	57.42823	0603	糸	5
310	0-5229		利		516743	6.55189	57.49375	0212	刀	5
311	0-5BAB		宫		513072	6.50534	57.5588	0311	宀	6
312	0-5C6C		屬		511903	6.49052	57.62371	0315	尸	18
313	0-5973		女		511240	6.48212	57.68853	0309	女	0
314	0-76F4		直		509228	6.4566	57.75309	0515	目	6
315	0-8DEF		路		508673	6.44957	57.81759	0711	足	6
316	0-671B		望		508569	6.44825	57.88207	0414	月	7
317	0-53D7		受		507631	6.43636	57.94643	0223	又	6
318	0-529B		力		505020	6.40325	58.01047	0213	力	0
319	0-8272		色		504546	6.39724	58.07444	0622	色	0
320	0-4EC1		仁		504532	6.39706	58.13841	0203	人	2
321	0-83AB		莫		502404	6.37008	58.20211	0623	艸	7
322	0-591C		夜		501728	6.36151	58.26573	0307	夕	6
323	0-5289		劉		501643	6.36043	58.32933	0212	刀	13
324	0-90CE		郎		501181	6.35458	58.39288	0717	邑	6
325	0-51E1		凡		500887	6.35085	58.45639	0210	几	1
326	0-5377		卷		500135	6.34131	58.5198	0220	卩	6
327	0-6728		木		497062	6.30235	58.58282	0415	木	0
328	0-7F6E		置		496847	6.29962	58.64582	0605	网	8
329	0-8349		草		496552	6.29588	58.70878	0623	艸	6
330	0-590F		夏		495519	6.28279	58.7716	0306	夊	7
331	0-6B62		止		494398	6.26857	58.83429	0417	止	0
332	0-5352		卒		490575	6.2201	58.89649	0218	十	6
333	0-9084		還		488350	6.19189	58.95841	0716	辵	13
334	0-8FD1		近		488106	6.18879	59.0203	0716	辵	4
335	0-5931		失		487606	6.18246	59.08212	0308	大	2
336	0-8033		耳		484381	6.14156	59.14354	0611	耳	0
337	0-52A0		加		483358	6.12859	59.20482	0213	力	3
338	0-5949		奉		483113	6.12549	59.26608	0308	大	5
339	0-96E8		雨		482692	6.12015	59.32728	0807	雨	0
340	0-7368		獨		482504	6.11777	59.38846	0434	犬	13
341	0-9752		青		479695	6.08215	59.44928	0808	靑	0
342	0-8A54		詔		477114	6.04943	59.50977	0703	言	5
343	0-5617		嘗		474122	6.01149	59.56989	0301	口	10
344	0-83EF		華		473050	5.9979	59.62987	0623	艸	7
345	0-8AAC		説		472965	5.99682	59.68984	0703	言	7
346	0-4EAC		京		472716	5.99366	59.74977	0202	亠	6
347	0-5C01		封		472090	5.98572	59.80963	0312	寸	6
348	0-81F4		致		471647	5.98011	59.86943	0616	至	4
349	0-8863		衣		471102	5.9732	59.92916	0628	衣	0
350	0-4FE1		信		470625	5.96715	59.98883	0203	人	7
351	0-66F4		更		469270	5.94997	60.04833	0413	曰	6
352	0-4F2F		伯		465922	5.90752	60.10741	0203	人	5
353	0-8B70		議		465109	5.89721	60.16638	0703	言	13
354	0-6BCD		母		462297	5.86156	60.225	0420	毋	0
355	0-9322		錢		460877	5.84355	60.28343	0801	金	8
356	0-597D		好		460064	5.83324	60.34177	0309	女	3
357	0-912D		鄭		455530	5.77576	60.39952	0717	邑	12
358	0-4F8D		侍		453651	5.75193	60.45704	0203	人	6
359	0-8FAD		辭		453426	5.74908	60.51453	0714	辛	12
360	0-9675		陵		449454	5.69872	60.57152	0804	阜	8
361	0-5BD2		寒		447360	5.67217	60.62824	0311	宀	9
362	0-539F		原		446953	5.66701	60.68491	0221	厂	8
363	0-5316		化		445994	5.65485	60.74146	0215	匕	2
364	0-8CE6		賦		445719	5.65136	60.79797	0708	貝	8
365	0-7531		由		441928	5.60329	60.85401	0508	田	0
366	0-7B2C		第		441811	5.60181	60.91002	0601	竹	5
367	0-522B		别		441114	5.59297	60.96595	0212	刀	5
368	0-54C9		哉		440206	5.58146	61.02177	0301	口	6
369	0-97FB		韻		439995	5.57879	61.07756	0905	音	10
370	0-56FA		固		438478	5.55955	61.13315	0302	囗	5
371	0-537F		卿		438396	5.55851	61.18874	0220	卩	8
372	0-5716		圖		435997	5.52809	61.24402	0302	囗	11
373	0-6562		敢		435512	5.52194	61.29924	0406	攴	7
374	0-571F		土		435368	5.52012	61.35444	0303	土	0
375	0-695A		楚		433775	5.49992	61.40944	0415	木	9
376	0-79E6		秦		433085	5.49117	61.46435	0521	禾	5
377	0-81E8		臨		430467	5.45798	61.51893	0614	臣	11
378	0-8C61		象		430148	5.45393	61.57347	0706	豕	4
379	0-4FEE		修		429720	5.44851	61.62795	0203	人	7
380	0-8B8A		變		427154	5.41597	61.68211	0703	言	19
381	0-60C5		情		423709	5.37229	61.73584	0401	心	8
382	0-5F1F		弟		422202	5.35318	61.78937	0328	弓	5
383	0-8ECA		車		420221	5.32807	61.84265	0713	車	0
384	0-76CA		益		419585	5.32	61.89585	0514	皿	5
385	0-53E3		口		416351	5.279	61.94864	0301	口	0
386	0-52D5		動		416244	5.27764	62.00142	0213	力	9
387	0-6BBA		殺		414748	5.25867	62.054	0419	殳	6
388	0-5BA3		宣		413665	5.24494	62.10645	0311	宀	6
389	0-540F		吏		413364	5.24113	62.15886	0301	口	5
390	0-5802		堂		412753	5.23338	62.2112	0303	土	8
391	0-5B5D		孝		407932	5.17225	62.26292	0310	子	4
392	0-7A7A		空		405690	5.14383	62.31436	0522	穴	3
393	0-5EDF		廟		405678	5.14367	62.36579	0324	广	12
394	0-8A31		許		405013	5.13524	62.41715	0703	言	4
395	0-4EE3		代		401107	5.08572	62.468	0203	人	3
396	0-9B4F		魏		400544	5.07858	62.51879	1008	鬼	8
397	0-6975		極		399723	5.06817	62.56947	0415	木	8
398	0-796D		祭		398821	5.05673	62.62004	0519	示	6
399	0-8457		著		397763	5.04332	62.67047	0623	艸	8
400	0-9AD4		體		397302	5.03747	62.72085	1002	骨	13
401	0-5BA2		客		396515	5.02749	62.77112	0311	宀	6
402	0-982D		頭		393760	4.99256	62.82105	0906	頁	7
403	0-5F80		往		393740	4.99231	62.87097	0331	彳	5
404	0-6881		梁		393688	4.99165	62.92089	0415	木	7
405	0-4FBF		便		393128	4.98455	62.97073	0203	人	7
406	0-6559		教		393004	4.98298	63.02056	0406	攴	7
407	0-6C38		永		391749	4.96706	63.07023	0425	水	1
408	0-5B54		孔		390446	4.95054	63.11974	0310	子	1
409	0-5FB7		德		390280	4.94844	63.16922	0331	彳	12
410	0-52DD		勝		388288	4.92318	63.21845	0213	力	8
411	0-8F09		載		386315	4.89817	63.26744	0713	車	6
412	0-5FE0		忠		384287	4.87245	63.31616	0401	心	4
413	0-5C0D		對		383044	4.85669	63.36473	0312	寸	11
414	0-534A		半		382533	4.85021	63.41323	0218	十	4
415	0-5DDD		川		381934	4.84262	63.46166	0318	巛	2
416	0-5D57		嵗		381669	4.83926	63.51005	0317	山	9
417	0-59BB		妻		381119	4.83228	63.55837	0309	女	5
418	0-9063		遣		380925	4.82983	63.60667	0716	辵	10
419	0-5F15		引		379216	4.80816	63.65475	0328	弓	1
420	0-8CDC		賜		377175	4.78228	63.70257	0708	貝	8
421	0-4E82		亂		375758	4.76431	63.75022	0105	乙	12
422	0-5168		全		374913	4.7536	63.79775	0205	入	4
423	0-6309		按		373441	4.73493	63.8451	0404	手	6
424	0-7701		省		373357	4.73387	63.89244	0515	目	4
425	0-7F6A		罪		371610	4.71172	63.93956	0605	网	8
426	0-5750		坐		371602	4.71162	63.98667	0303	土	4
427	0-4E26		並		370690	4.70005	64.03368	0101	一	6
428	0-75C5		病		370414	4.69655	64.08064	0510	疒	5
429	0-8CB4		貴		369768	4.68836	64.12752	0708	貝	5
430	0-98DB		飛		368885	4.67717	64.1743	0908	飛	0
431	0-8D99		趙		367859	4.66416	64.22094	0710	走	7
432	0-666F		景		367564	4.66042	64.26754	0412	日	8
433	0-8CCA		賊		367079	4.65427	64.31408	0708	貝	6
434	0-4E7E		乾		367013	4.65343	64.36062	0105	乙	10
435	0-76EE		目		363387	4.60746	64.40669	0515	目	0
436	0-4EF2		仲		362406	4.59502	64.45264	0203	人	4
437	0-964D		降		360786	4.57448	64.49839	0804	阜	6
438	0-7D76		絶		360655	4.57282	64.54412	0603	糸	6
439	0-6731		朱		358588	4.54661	64.58958	0415	木	2
440	0-627F		承		354772	4.49823	64.63456	0404	手	7
441	0-7532		甲		354339	4.49274	64.67949	0508	田	0
442	0-771F		真		354226	4.4913	64.72441	0515	目	8
443	0-5BB9		容		353822	4.48618	64.76927	0311	宀	7
444	0-706B		火		353763	4.48543	64.81412	0426	火	0
445	0-62DC		拜		353617	4.48358	64.85896	0404	手	5
446	0-540E		后		353222	4.47857	64.90374	0301	口	3
447	0-4EA4		交		352831	4.47362	64.94848	0202	亠	4
448	0-5411		向		352509	4.46953	64.99317	0301	口	3
449	0-5609		嘉		352478	4.46914	65.03787	0301	口	11
450	0-9999		香		352091	4.46423	65.08251	0911	香	0
451	0-8003		考		350097	4.43895	65.1269	0608	老	2
